,ZIP,LEN,REVENUE,COMPENSATION,EXPENSES,CONTRIBUTIONS,PROGREVENUE
257,11245.0,0.0,0.0,0.0,0.0,0.0,0.0
258,11247.0,1.0,67117.0,0.0,60776.0,31825.0,35292.0
259,11352.0,0.0,0.0,0.0,0.0,0.0,0.0
260,11424.0,1.0,98365.0,0.0,125903.0,46300.0,0.0
261,11439.0,1.0,77101.0,0.0,40954.0,77101.0,0.0
262,11695.0,1.0,185378.0,0.0,142662.0,110961.0,74417.0
263,10065.0,15.0,11375279.0,3746229.0,11501527.0,8535344.0,2489533.0
264,10075.0,17.0,20017371.0,4038247.0,16210695.0,7198262.0,7685350.0
265,10286.0,0.0,0.0,0.0,0.0,0.0,0.0
266,11005.0,0.0,0.0,0.0,0.0,0.0,0.0
